# ML baseline (schema ml-baseline/1, issue #58 sub-issue #73)
# runtime .NET 8.0.31 Release, Linux x64, 1 CPU, corpus Minotaur-Grammars main @ 2026-09-24
# 30 measured runs per pair after 2 warm-ups, fresh StepParserEngine per run; times in microseconds
grammar,inputLengthBytes,success,errorCount,tokenCount,pathCount,ambiguousParseCount,parseTimeP50Micros,parseTimeP95Micros,parseTimeP99Micros,parseTimeMinMicros,allocatedBytesP50,allocatedBytesP95,allocatedBytesP99,allocatedBytesMin
BitbucketPipelines,323,no,1,0,1,0,9.9,15.9,20,5.2,5080,5080,5080,5080
CircleCIConfig,412,no,1,0,1,0,11.3,16.7,17.4,6.6,5912,5912,5912,5912
GitHubActionsWorkflow,611,no,1,0,1,0,11,17.3,20,6.7,6168,6168,6168,6168
GitLabCI,404,no,1,0,1,0,9.5,17.4,23.4,5.7,5648,5648,5648,5648
Jenkinsfile,403,no,1,0,1,0,11.6,15.4,16.6,6.5,5960,5960,5960,5960
ABNF,14,no,1,0,1,0,9.3,18.1,32.6,5.7,4808,4808,4808,4808
Avro,588,no,1,0,1,0,11,25.7,39.8,8.4,7920,7920,7920,7920
Cue,498,no,1,0,1,0,11.5,16.9,19.5,7,5944,5944,5944,5944
Dhall,294,no,1,0,1,0,11.2,17.9,22.9,7,5792,5792,5792,5792
EDN,240,no,1,0,1,0,10.4,31.7,33,6.2,5328,5328,5328,5328
FlatBuffers,506,no,1,0,1,0,7.4,29.1,29.8,6,6648,6648,6648,6648
HOCON,256,no,1,0,1,0,6.5,12.3,29.3,5.3,4728,4728,4728,4728
INI,242,no,1,0,1,0,5.3,11.2,29.7,4.4,4128,4128,4128,4128
Jsonnet,436,no,1,0,1,0,8.4,15,43.7,6.9,6128,6128,6128,6128
KDL,217,no,1,0,1,0,7.4,13,13.1,6.3,4808,4808,4808,4808
Protobuf,870,no,1,0,1,0,8.5,14.6,16.9,8.1,8400,8400,8400,8400
YAML,542,no,1,0,1,0,7.6,13.4,24.8,6.3,5432,5432,5432,5432
Cypher,318,no,1,0,1,0,6.5,11.7,12.1,5.3,5000,5000,5000,5000
Gremlin,241,no,1,0,1,0,5.9,9.8,11,4.8,4472,4472,4472,4472
PrismaSchema,609,no,1,0,1,0,8.2,13.1,13.2,6.2,6024,6024,6024,6024
SPARQL,293,no,1,0,1,0,6.7,11.9,12.2,5.2,4704,4704,4704,4704
SQL,888,no,1,0,1,0,12.6,14.7,14.9,7.2,7784,7784,7784,7784
Base64,248,no,1,0,1,0,4.5,11,25.8,3.6,3936,3936,3936,3936
AnsiblePlaybook,815,yes,1,1,1,1,35.6,49.2,98.4,31,28144,28144,28144,28144
ChefRecipe,649,no,1,0,1,0,8.9,15.9,31.4,7,7296,7296,7296,7296
CloudFormation,776,no,1,0,1,0,12.4,31.6,32,10.5,7904,7904,7904,7904
Dockerfile,753,no,1,0,1,0,18,24,39.2,16.9,10528,10528,10528,10528
Makefile,461,no,1,0,1,0,9.5,16.1,27.7,8,6616,6616,6616,6616
NomadHcl,1080,no,1,0,1,0,7.8,14.1,28.9,6.8,7968,7968,7968,7968
PuppetManifest,686,no,1,0,1,0,8.3,14.5,16.2,6.8,6704,6704,6704,6704
Vagrantfile,718,no,1,0,1,0,8.1,13.7,14.3,6.6,7224,7224,7224,7224
Ancient_Greek,5645,no,1,0,1,0,91.9,129.9,133.6,85,41920,41920,41920,41920
Austrian,5294,no,1,0,1,0,56.5,61.9,103.1,53.7,31752,31752,31752,31752
Bulgarian,1781,no,1,0,1,0,40.9,54.8,54.8,38.3,20256,20256,20256,20256
Croatian,93,no,1,0,1,0,18.6,31.5,40.1,16.6,15008,15008,15008,15008
Czech,1353,no,1,0,1,0,66,75.6,95.7,63.5,28624,28624,33296,28624
Danish,5986,no,1,0,1,0,57.2,59.7,60.2,55.2,39752,39752,39752,39752
Dutch,1419,no,1,0,1,0,55.5,80.9,117.8,54.4,30016,30016,30016,30016
Estonian,71,no,1,0,1,0,17.6,26.3,39.4,11.8,13296,13296,13296,13296
Faroese,14,no,1,0,1,0,48.4,54.4,71.2,43.6,16864,16864,16864,16864
Finnish,14,yes,1,1,1,1,128.7,153.8,273.5,121.9,41832,41832,42112,41832
French,7032,no,1,0,1,0,70.1,76.6,86.8,64.9,56512,56512,56512,56512
GB_English,11323,no,1,0,1,0,65.7,94.7,113.3,54.8,59728,59728,59728,59728
German,8571,no,1,0,1,0,78,105.5,138,70.5,47136,47136,47136,47136
Greenlandic,14,no,1,0,1,0,45.7,51.6,61.5,42.1,10416,10416,10416,10416
Hungarian,2037,no,1,0,1,0,54.3,60.1,67.3,51.4,22688,22688,22688,22688
Icelandic,14,no,1,0,1,0,79.5,97.3,99.8,75.1,31600,31600,31600,31600
Irish,73,no,1,0,1,0,4.5,12.5,12.7,3.9,3864,3864,3864,3864
Italian,6994,no,1,0,1,0,76.2,101.8,154.1,68.6,51368,51368,51368,51368
Latin,6378,no,1,0,1,0,62.4,86.6,93,58.8,38880,38880,38880,38880
Latvian,72,no,1,0,1,0,4.3,10.6,11.4,3.8,3888,3888,3888,3888
Lithuanian,70,no,1,0,1,0,4.2,11.5,12.2,3.8,3872,3872,3872,3872
Maltese,74,no,1,0,1,0,4.6,11.8,12,4.2,3968,3968,3968,3968
Modern_Greek,5492,no,1,0,1,0,105,113.2,129,100,56040,56040,56040,56040
Norwegian_Bokmål,14,no,1,0,1,0,69.2,87,92.6,64.2,28112,28112,28112,28112
Norwegian_Nynorsk,14,no,1,0,1,0,68.7,99.4,106.1,64.8,28560,28560,28560,28560
Old_Norse,14,no,1,0,1,0,87.3,112.2,141,80.7,32768,32768,32768,32768
Polish,1211,no,1,0,1,0,69.8,78.1,82.1,66.7,29152,29152,29152,29152
Portuguese,9172,no,1,0,1,0,83.2,94.5,95.5,77.4,49712,49712,49712,49712
Romanian,2003,no,1,0,1,0,70.9,92.7,98.3,64.4,25576,25576,25576,25576
Slovak,215,no,1,0,1,0,24,29.4,32.5,21.2,14640,14640,14640,14640
Spanish,10840,no,1,0,1,0,79.9,98.7,109.2,75.2,55640,55640,55640,55640
Swedish,14,no,1,0,1,0,60.9,67.8,77.2,58,23880,23880,23880,23880
Swedish,14,no,1,0,1,0,19.6,23.5,25.9,18.4,8552,8552,8552,8552
Swiss_German,5914,no,1,0,1,0,65.5,85.1,12773.6,59.9,30384,30384,30384,30384
US_English,9857,no,1,0,1,0,62.1,72.8,99.1,54.9,50120,50120,50120,50120
ApacheHttpdConfig,349,no,1,0,1,0,4.6,9.1,11.6,3.7,4536,4536,4536,4536
Bind9ZoneFile,279,no,1,0,1,0,4.3,9.2,9.5,3.4,3744,3744,3744,3744
EnvoyConfig,398,no,1,0,1,0,6.3,11.9,37,5.2,5920,5920,5920,5920
HAProxyConfig,440,no,1,0,1,0,5,10.4,33.7,4.3,4984,4984,4984,4984
NginxConfig,357,no,1,0,1,0,4.1,10.5,23.6,3.3,4400,4400,4400,4400
C17,14,no,1,0,1,0,12.9,21.6,25.4,10.9,2720,2720,2720,2720
Clojure,347,no,1,0,1,0,7.2,12.2,12.2,6.1,5168,5168,5168,5168
Dart,501,no,1,0,1,0,11,13.6,24.4,6,5560,5560,5560,5560
Elixir,391,no,1,0,1,0,4.9,10.3,25.7,3.5,4328,4328,4328,4328
Erlang,476,no,1,0,1,0,10,11.6,11.8,5.1,5232,5232,5232,5232
Haskell,407,no,1,0,1,0,6.8,11.1,11.2,4.6,4888,4888,4888,4888
Kotlin,475,no,1,0,1,0,11,12.5,12.8,5.9,5672,5672,5672,5672
Lua,288,no,1,0,1,0,8,14.4,15.3,4.9,4912,4912,4912,4912
Perl,332,no,1,0,1,0,5.3,10.6,10.6,4.4,4600,4600,4600,4600
PHP,446,no,1,0,1,0,10,11.6,12.2,5.2,5344,5344,5344,5344
RLang,415,no,1,0,1,0,9,12.3,14.5,4.4,4800,4800,4800,4800
Ruby,338,no,1,0,1,0,6.7,11.4,11.6,5.1,5136,5136,5136,5136
SampleLanguageGrammar,14,no,2,1,0,0,15.9,43.3,660.3,12.7,8360,8360,8360,8360
Scala,394,no,1,0,1,0,7.8,11.2,11.9,5,5248,5248,5248,5248
Swift,509,no,1,0,1,0,9.8,15.7,25.7,5.1,5416,5416,5416,5416
AsciiDoc,210,no,1,0,1,0,5,10.1,14.5,4.1,4080,4080,4080,4080
Labyrinth,1234,no,1,0,1,0,8.6,13.9,14.1,7.5,7568,7568,7568,7568
LaTeX,237,no,1,0,1,0,4.9,9.6,9.9,4.1,4480,4480,4480,4480
Markdown,234,no,1,0,1,0,5,11.1,48.8,4.1,4160,4160,4160,4160
MermaidJs,638,no,1,0,1,0,10.1,11.3,11.6,5.3,5600,5600,5600,5600
PlantUML,341,no,1,0,1,0,5.2,10.1,23.5,4.2,4480,4480,4480,4480
Solidity,356,no,1,0,1,0,10.7,11.6,13.9,5.4,5552,5552,5552,5552
Xsd11,299,no,1,0,1,0,16.9,21.9,32.7,15.9,8936,8936,8936,8936
Xsd11,317,no,1,0,1,0,17,32.2,33.1,15.8,8968,8968,8968,8968
AdrSpec,1047,no,1,0,1,0,7.3,12.9,13.8,6.3,6912,6912,6912,6912
AiSpec,819,yes,1,1,1,1,33.8,67.7,74.8,25,25208,25208,25208,25208
ApiSpec,799,yes,1,1,1,1,30.3,54.6,75.7,26.9,26864,26864,26864,26864
ModelSpec,615,yes,1,1,1,1,23.3,42.7,72.6,21.2,23088,23088,23088,23088
NsSpec,546,yes,1,1,1,1,25.6,45.8,51.5,23.9,23424,23424,23424,23424
SolutionManifest,940,no,1,0,1,0,5,10.7,11.2,4.3,5832,5832,5832,5832
SrsSpec,918,yes,1,1,1,1,27.8,54.3,61.6,24.5,26360,26360,26360,26360
TestSpec,877,yes,1,1,1,1,25.1,56.9,62.5,23,25312,25312,25312,25312
Crontab,191,no,1,0,1,0,3.5,8.4,9.5,2.9,3368,3368,3368,3368
GitDiff,396,no,1,0,1,0,6,11.4,11.8,4.1,4528,4528,4528,4528
UnixLsOutput,486,no,1,0,1,0,3.9,9.4,27.9,2.7,4088,4088,4088,4088
UnixPsOutput,425,no,1,0,1,0,4,9.1,10,3.1,4048,4048,4048,4048
WindowsDirOutput,356,no,1,0,1,0,4.2,9.6,12.4,3.2,3984,3984,3984,3984
HTML,297,no,1,0,1,0,5,10.2,10.5,4.1,4440,4440,4440,4440
LESS,316,no,1,0,1,0,5.5,10.5,12.8,4.7,4568,4568,4568,4568
SASS,354,no,1,0,1,0,11,12.6,13.1,6.4,5544,5544,5544,5544
